feature,gain_importance
previous_exam_score,13747677.921234624
exam_difficulty,6271477.121162777
study_hours_per_day,6162585.443774405
exam_preparation_days,3962060.4725585845
practice_tests_completed,3813124.1167913103
sleep_hours,1316091.1515581473
attendance_percentage,1205742.4175967823
stress_level,1195467.0367904836
time_management_score,332754.34278153133
exam_anxiety_level,150647.69429444402
previous_gpa,118958.21881789288
self_study_hours,99688.74055295708
assignment_completion_rate,44121.84618620325
family_income,0.0
school_type,0.0
education_level,0.0
gender,0.0
age,0.0
parent_education,0.0
class_participation,0.0
urban_rural,0.0
revision_frequency,0.0
study_method,0.0
study_environment,0.0
study_consistency,0.0
private_tuition,0.0
online_learning_hours,0.0
sleep_quality,0.0
notes_quality,0.0
motivation_level,0.0
break_frequency,0.0
physical_activity_hours,0.0
daily_screen_time,0.0
online_course_hours,0.0
educational_app_usage,0.0
device_availability,0.0
internet_access,0.0
