iteration,train_rmse,validation_rmse
1,15.510153491739155,15.50599349522565
2,15.164182524401319,15.15124372008246
3,14.864406450502484,14.842202109458336
4,14.59494223285718,14.565985201431214
5,14.331448883515588,14.29999344916061
6,14.085983390831506,14.0529132072559
7,13.859403249236994,13.822760066905245
8,13.645028762796498,13.600812146000868
9,13.452201054793278,13.406164852524876
10,13.254834931438964,13.208966622190848
11,13.061301455329465,13.013302257768858
12,12.897344278378084,12.848289711017866
13,12.734782759819245,12.680369663594389
14,12.590620362020616,12.536952772779737
15,12.455981742009431,12.401523112648732
16,12.324645693836379,12.277092520797567
17,12.201575540023535,12.154311687663101
18,12.091045864235268,12.043826850960654
19,11.974258684492588,11.926382581166921
20,11.87238399515018,11.826691703304215
21,11.763218136757825,11.719051804962202
22,11.654451777006578,11.614700748517789
23,11.557132638559848,11.518227255965364
24,11.473499497979182,11.439179209282775
25,11.383717505001249,11.350574292205488
26,11.310610884149565,11.279597588096292
27,11.225131914898133,11.193569942957046
28,11.15375758996373,11.122010664029936
29,11.085403867659636,11.053742810245499
30,11.010927053120964,10.98335827911121
31,10.9480127608191,10.925209051120003
32,10.89021174558007,10.868773014430355
33,10.838832181378299,10.822812295642228
34,10.779641035529963,10.763581588442056
35,10.719138459886711,10.706701447293659
36,10.666826417175674,10.656623495576273
37,10.620467555561731,10.610742115240493
38,10.574760136511102,10.565631743371199
39,10.531532688021501,10.522320347470707
40,10.482114728904747,10.475674734670843
41,10.437532850746742,10.430773204406716
42,10.392604932856068,10.385016941703888
43,10.35082504234807,10.34292669163273
44,10.30885393898879,10.302311609027315
45,10.267557002377925,10.262683871101244
46,10.225864499041037,10.2238762228249
47,10.193959515512596,10.193235942838642
48,10.155925018134564,10.1571734389328
49,10.126496865939737,10.127415268907857
50,10.091542183257861,10.091886883044264
51,10.065533704726612,10.067762774855893
52,10.037958456511143,10.040842428124826
53,10.012858875711993,10.016446169906168
54,9.982544543584106,9.987663975703015
55,9.954018532213263,9.959316156856334
56,9.926255907890827,9.934696174423273
57,9.906561293014146,9.916092897129488
58,9.878591400537898,9.889194910676572
59,9.85701191623507,9.8676006619611
60,9.835815566763154,9.847538932531892
61,9.811711478966048,9.824747608057104
62,9.789841318767266,9.803414376265739
63,9.768847751087135,9.784023331209253
64,9.751497452321223,9.76621986074861
65,9.736058651178656,9.750458047827467
66,9.715103966825552,9.730224748474294
67,9.699932797538873,9.713337514041708
68,9.684076754519745,9.697677203894232
69,9.66385011467151,9.677668086005989
70,9.64649872040604,9.66217893076293
71,9.633486661045843,9.649406933852395
72,9.618579572737923,9.634722634030583
73,9.603564588460653,9.621638547742938
74,9.592065996243303,9.610052044177326
75,9.579615272817604,9.596563090062746
76,9.566843602612074,9.58344975810476
77,9.555225947600679,9.574028406261466
78,9.546141462437728,9.565050872308388
79,9.53338536005114,9.55362337929172
80,9.520211366173008,9.54201077950783
