feature,gain_importance
previous_exam_score,331563.26490497775
exam_difficulty,118244.0912719758
study_hours_per_day,82679.36109049128
practice_tests_completed,82389.14274644447
exam_preparation_days,81668.80943648895
self_study_hours,54160.64393491305
previous_gpa,52091.956829441384
attendance_percentage,32945.686096887424
daily_screen_time,7071.639403847116
sleep_hours,7068.504998907291
assignment_completion_rate,4897.221379002909
stress_level,3240.2145672544284
time_management_score,2985.3131524260643
study_method,2772.4608660980657
motivation_level,2490.6676210116707
family_income,2136.0445225748836
age,0.0
school_type,0.0
education_level,0.0
gender,0.0
class_participation,0.0
revision_frequency,0.0
study_environment,0.0
online_learning_hours,0.0
study_consistency,0.0
private_tuition,0.0
urban_rural,0.0
parent_education,0.0
sleep_quality,0.0
physical_activity_hours,0.0
break_frequency,0.0
notes_quality,0.0
internet_access,0.0
online_course_hours,0.0
educational_app_usage,0.0
device_availability,0.0
exam_anxiety_level,0.0
