age,gender,education_level,school_type,family_income,parent_education,urban_rural,previous_exam_score,previous_gpa,attendance_percentage,assignment_completion_rate,class_participation,study_hours_per_day,self_study_hours,private_tuition,online_learning_hours,study_consistency,study_environment,study_method,revision_frequency,practice_tests_completed,notes_quality,sleep_hours,sleep_quality,daily_screen_time,physical_activity_hours,break_frequency,stress_level,motivation_level,internet_access,device_availability,educational_app_usage,online_course_hours,exam_difficulty,exam_preparation_days,questions_attempted,questions_correct,time_management_score,exam_anxiety_level,exam_score
20,0.0,0.0,2.0,3.0,3.0,0.0,78.36,2.95,81.49,65.18,2.0,4.94,2.63,0,1.75,2.0,0.0,0.0,1.0,8,0.0,6.31,0.0,3.8,0.93,0.0,10,0.0,1,1.0,1.0,2.15,2.0,27,95,86,78.39855100844147,9.39,90.4
17,1.0,0.0,2.0,3.0,3.0,1.0,73.4,2.89,84.61688196855897,76.53,1.0,3.42,2.64,0,1.97,2.0,0.0,0.0,0.0,10,0.0,6.81,0.0,4.04,0.21,0.0,8,0.0,1,1.0,2.0,4.37,0.0,4,100,86,87.17,6.31,86.21
18,2.0,1.0,2.0,3.0,4.0,2.0,82.76,3.35,100.0,70.39,2.0,1.06,0.83,0,3.4,1.0,0.0,4.0,2.0,5,1.0,6.53,3.0,3.19,2.56,2.0,9,2.0,1,0.0,1.0,1.43,0.0,28,96,74,63.77,9.87,76.11
20,1.0,0.0,2.0,3.0,3.0,1.0,60.61,2.57,84.91,75.06,1.0,7.89,5.51,0,1.94,2.0,2.0,4.0,2.0,8,1.0,6.6,1.0,5.12,2.3,2.0,10,0.0,1,0.0,1.0,3.69,2.0,16,97,77,59.51,9.68,79.74
16,0.0,0.0,1.0,0.0,1.0,1.0,74.79,2.84,88.21,61.54,2.0,2.63,2.29,0,0.58,2.0,1.0,3.0,1.0,1,2.0,7.83,0.0,4.82,0.49,0.0,10,0.0,1,0.0,2.0,1.97,2.0,28,98,52,84.64,10.0,50.66
18,1.0,0.0,2.0,0.0,3.0,0.0,67.68,2.780892014706042,97.11,65.46,2.0,3.18,1.67,1,1.02,2.0,2.0,3.0,0.0,6,0.0,8.83,1.0,8.37,1.64,1.0,6,2.0,1,1.0,2.0,1.08,1.0,27,96,65,55.27,6.12,67.9
18,1.0,0.0,0.0,3.0,3.0,2.0,78.84,3.0,85.38,70.92,2.0,3.35,2.11,0,1.47,2.0,2.0,2.0,2.0,6,0.0,7.16,1.0,2.59,0.71,1.0,10,2.0,1,0.0,1.0,5.62,1.0,12,98,54,86.15,9.46,53.86
20,0.0,1.0,1.0,2.0,1.0,1.0,90.79,3.63,80.61,72.83,0.0,5.51,4.33,0,0.26,1.0,2.0,3.0,2.0,9,2.0,8.22,2.0,6.86,0.09,0.0,10,2.0,0,1.0,2.0,4.78,0.0,7,94,91,88.08,10.0,97.61
15,1.0,1.0,2.0,2.0,0.0,1.0,61.28,2.43,86.47,70.12,0.0,2.42,1.65,1,6.23,0.0,1.0,2.0,2.0,7,1.0,6.55,2.0,5.99,1.51,1.0,10,2.0,1,0.0,1.0,2.01,1.0,14,94,35,70.21,8.34,34.44
16,0.0,1.0,2.0,2.0,0.0,0.0,61.33,2.72,89.61,61.53,1.0,1.26,0.78,0,2.86,2.0,1.0,1.0,2.0,2,2.0,8.9,2.0,1.21,1.59,0.0,10,2.0,1,0.0,1.0,8.4,1.0,4,87,34,73.78,8.49,39.05
20,1.0,0.0,1.0,3.0,2.0,1.0,71.7,2.86,84.73,64.63,0.0,1.47,1.04,1,3.47,1.0,2.0,3.0,0.0,4,0.0,9.1,1.0,2.63,3.8,0.0,6,2.0,1,1.0,2.0,0.64,2.0,2,93,68,78.39855100844147,4.59,76.22
16,1.0,0.0,2.0,4.0,0.0,2.0,94.04,3.85,96.87,65.89,2.0,2.85,2.02,0,0.4,1.0,0.0,2.0,0.0,3,1.0,6.77,2.0,6.03,0.17,1.0,10,2.0,1,0.0,2.0,2.73,2.0,3,94,74,89.89,10.0,77.19
16,0.0,1.0,2.0,3.0,0.0,2.0,77.31,3.14,82.01,61.22,1.0,3.64,3.15,1,4.03,0.0,0.0,3.0,2.0,5,0.0,7.51,1.0,4.54,6.04,1.0,10,2.0,1,0.0,1.0,2.41,0.0,11,98,62,63.69,9.32,60.24
18,0.0,0.0,1.0,2.0,3.0,1.0,67.88,2.64,97.33,90.35,2.0,5.86,3.75,0,2.19,2.0,2.0,3.0,0.0,7,0.0,8.65,2.0,4.4,1.9,1.0,7,2.0,1,0.0,2.0,3.55,1.0,24,94,58,100.0,7.1,61.67
17,1.0,0.0,2.0,3.0,0.0,1.0,71.9,2.7,95.33,69.98,0.0,3.19,2.79,0,0.57,1.0,2.0,1.0,1.0,9,0.0,7.16,3.0,3.6,4.85,1.0,10,2.0,1,1.0,2.0,1.09,2.0,26,94,72,76.86,10.0,75.29
16,1.0,0.0,2.0,3.0,1.0,0.0,41.12,1.83,99.8,86.47,0.0,0.5,0.3,0,0.58,0.0,1.0,4.0,2.0,5,0.0,7.22,0.0,6.78,1.42,1.0,9,2.0,1,1.0,1.0,0.53,1.0,14,93,36,96.84,8.47,38.77
19,1.0,0.0,2.0,3.0,1.0,0.0,75.61,3.12,83.92,59.84,2.0,3.62,2.37,1,1.27,1.0,2.0,0.0,0.0,3,1.0,8.81,0.0,1.75,3.6,2.0,10,2.0,1,1.0,1.0,2.57,2.0,17,87,77,91.31,10.0,86.36
18,1.0,1.0,2.0,3.0,3.0,1.0,73.86,2.780892014706042,87.8,83.33,2.0,2.65,2.34,0,1.14,0.0,2.0,2.0,0.0,3,0.0,5.84,1.0,5.59,1.37,0.0,10,2.0,1,1.0,0.0,1.19,1.0,11,92,52,78.39855100844147,8.43,55.88
15,0.0,0.0,2.0,1.0,4.0,1.0,52.9,2.03,84.61688196855897,57.6,2.0,0.87,0.67,0,0.16,2.0,2.0,3.0,2.0,4,0.0,6.19,1.0,5.54,4.66,0.0,10,0.0,1,0.0,2.0,1.16,1.0,3,100,30,78.39855100844147,9.85,32.5
17,0.0,0.0,1.0,2.0,0.0,2.0,87.54,3.52,78.31,83.69,2.0,2.16,1.3,1,5.54,2.0,0.0,4.0,2.0,0,2.0,6.61,2.0,7.06,2.18,0.0,10,2.0,0,0.0,0.0,3.35,2.0,28,93,64,81.07,10.0,70.56
19,0.0,0.0,2.0,1.0,1.0,1.0,75.66,2.88,75.56,68.79,2.0,2.27,1.9,0,4.15,2.0,1.0,2.0,0.0,5,0.0,9.28,1.0,6.28,6.6,0.0,10,0.0,1,1.0,0.0,1.42,2.0,28,95,64,98.01,9.8,68.1
19,2.0,1.0,1.0,2.0,3.0,1.0,59.1,2.66,79.9,72.14,0.0,4.81,3.33,1,0.5,2.0,2.0,3.0,0.0,8,0.0,7.17,2.0,8.02,2.52,1.0,10,1.0,0,0.0,1.0,4.28,1.0,24,85,53,60.8,7.74,59.96
15,1.0,0.0,2.0,1.0,3.0,1.0,63.72,2.42,80.78,63.28,2.0,1.46,1.25,0,1.96,0.0,2.0,0.0,0.0,5,0.0,7.37,1.0,3.86,2.48,0.0,9,2.0,1,1.0,0.0,3.1,2.0,1,90,18,78.7,8.43,19.76
17,1.0,1.0,2.0,4.0,0.0,0.0,74.88,2.8,90.19,77.12,0.0,4.11,3.15,1,1.54,2.0,0.0,3.0,0.0,11,0.0,6.52,0.0,8.49,1.1,1.0,7,0.0,1,0.0,1.0,1.22,2.0,1,87,62,100.0,9.02,72.44
18,1.0,1.0,1.0,4.0,0.0,1.0,86.91,3.58,84.61688196855897,64.81,2.0,0.75,0.65,0,0.08,2.0,0.0,1.0,2.0,4,2.0,7.12,3.0,4.03,1.57,0.0,10,1.0,1,1.0,0.0,1.5,1.0,24,97,68,100.0,8.78,72.34
14,0.0,1.0,2.0,4.0,3.0,1.0,100.0,4.0,91.06,75.74,1.0,3.88,1.99,0,2.97,0.0,2.0,3.0,0.0,13,0.0,5.71,3.0,6.0,3.33,0.0,10,2.0,1,1.0,2.0,1.27,1.0,25,91,59,64.33,10.0,66.4
17,0.0,0.0,1.0,0.0,1.0,2.0,88.96,3.66,91.0,55.44,2.0,0.5,0.35,0,0.29,0.0,2.0,3.0,2.0,4,0.0,5.72,3.0,7.75,3.92,0.0,9,2.0,1,0.0,2.0,0.26,2.0,14,89,59,57.36,8.72,66.34
15,1.0,0.0,1.0,3.0,0.0,1.0,72.24,2.99,78.67,60.58,2.0,1.15,0.68,1,0.58,2.0,0.0,0.0,0.0,3,1.0,7.48,3.0,6.33,1.46,2.0,10,2.0,1,0.0,1.0,1.2,1.0,23,91,44,66.75,10.0,47.83
19,0.0,0.0,0.0,1.0,1.0,2.0,74.52,3.34,84.36,56.74,2.0,2.83,2.36,0,0.38,1.0,2.0,2.0,2.0,5,1.0,7.88,2.0,4.23,0.5,1.0,8,2.0,1,0.0,0.0,5.87,2.0,2,92,69,90.01,4.11,73.88
18,0.0,0.0,0.0,1.0,0.0,1.0,58.62,2.08,83.17,72.11,2.0,5.57,4.84,0,0.08,1.0,2.0,0.0,2.0,7,2.0,5.49,2.0,3.13,0.32,1.0,10,0.0,1,0.0,0.0,1.1,1.0,17,96,58,89.45,10.0,58.27
17,1.0,0.0,2.0,1.0,0.0,0.0,66.2,2.89,91.57,56.36,2.0,5.35,3.61,0,3.91,2.0,0.0,2.0,0.0,6,0.0,8.63,1.0,3.2,0.26,0.0,10,2.0,1,0.0,2.0,0.36,1.0,25,89,60,72.54,10.0,65.74
14,1.0,1.0,1.0,3.0,1.0,2.0,65.48,2.74,100.0,59.9,0.0,2.85,1.8,0,0.07,0.0,1.0,2.0,0.0,7,0.0,8.57,0.0,4.79,6.03,1.0,7,0.0,1,0.0,0.0,1.45,2.0,15,87,69,73.2,5.03,81.66
14,1.0,0.0,1.0,1.0,4.0,1.0,63.05,2.88,81.4,74.87,2.0,4.59,3.32,1,1.42,2.0,2.0,0.0,0.0,11,0.0,6.96,1.0,7.09,5.37,1.0,9,0.0,1,0.0,0.0,1.7,2.0,4,88,77,87.4,8.78,84.17
16,0.0,1.0,2.0,3.0,3.0,1.0,84.86,3.5,73.86,51.95,2.0,1.01,0.62,0,3.59,2.0,1.0,2.0,2.0,2,0.0,6.81,1.0,4.31,0.98,0.0,10,1.0,1,1.0,1.0,3.54,0.0,12,98,49,66.81,10.0,49.29
16,1.0,1.0,2.0,0.0,1.0,2.0,72.41,3.15,84.61688196855897,72.2,0.0,4.08,2.11,0,7.64,0.0,2.0,0.0,2.0,4,0.0,8.49,1.0,6.47,1.36,1.0,10,1.0,1,0.0,1.0,0.93,0.0,23,97,91,100.0,6.18,92.31
20,0.0,0.0,0.0,1.0,3.0,2.0,81.06,3.3,78.98,64.3,1.0,3.6,3.02,1,0.22,0.0,1.0,3.0,2.0,6,0.0,7.17,1.0,4.62,0.99,2.0,10,2.0,1,0.0,0.0,0.52,1.0,1,90,47,84.02,9.14,51.14
15,0.0,1.0,2.0,1.0,1.0,1.0,59.45,2.25,84.61688196855897,75.7,0.0,1.26,0.74,0,2.79,1.0,0.0,0.0,2.0,4,0.0,8.07,3.0,4.26,1.91,1.0,7,2.0,1,0.0,1.0,1.24,1.0,9,87,53,70.4,7.34,60.83
17,1.0,1.0,2.0,3.0,1.0,2.0,49.26,2.01,89.99,65.93,0.0,1.53,0.92,0,2.5,2.0,2.0,0.0,2.0,1,0.0,7.96,3.0,5.39,1.17,1.0,7,1.0,1,1.0,1.0,0.1,2.0,25,85,42,91.74,7.76,53.66
