k,Train MSE,Test MSE,Train retained variance,Reduction ratio
1,0.4921882770871368,0.43634829816783915,0.507811722912863,0.9982174688057041
2,0.4263814744190086,0.3916857724605196,0.5736185255809914,0.9964349376114082
3,0.3983171066716031,0.37357857827614827,0.6016828933283971,0.9946524064171123
5,0.35439472906942815,0.3387089927807669,0.6456052709305719,0.9910873440285205
10,0.2918443124130924,0.28804295657647994,0.7081556875869075,0.982174688057041
20,0.226253523932132,0.22668907735928148,0.7737464760678678,0.964349376114082
26,0.19819495845317145,0.201124393061518,0.8018050415468281,0.9536541889483066
30,0.18220404582714558,0.1866055482554415,0.8177959541728542,0.946524064171123
50,0.12481636416833736,0.13244796529960384,0.8751836358316626,0.910873440285205
63,0.09946549338540638,0.10826360211643082,0.9005345066145933,0.8877005347593583
75,0.08045218035588592,0.0892096973798693,0.919547819644114,0.8663101604278075
100,0.051084960062028756,0.05783615383385757,0.9489150399379711,0.82174688057041
102,0.04924417797458671,0.05583215221855016,0.9507558220254131,0.8181818181818181
150,0.018946266650281873,0.023060769845695623,0.9810537333497182,0.732620320855615
179,0.009807320801338278,0.012421731155096614,0.9901926791986623,0.6809269162210339
200,0.006363887061423709,0.00804719802573379,0.9936361129385767,0.64349376114082
300,0.0009012385141716983,0.0012150968176672977,0.999098761485829,0.4652406417112299
400,2.6536734185693836e-05,4.6806611907463276e-05,0.9999734632658152,0.28698752228163993
500,2.674189310977482e-17,3.12524943404969e-17,1.000000000000001,0.10873440285204994
561,2.5715506145949157e-30,2.2674851405482472e-30,1.000000000000001,0.0
