feature,coefficient,absolute_coefficient
X5,6.667911057888998,6.667911057888998
X8_2,3.765913791567498,3.765913791567498
X8_5,3.5422725665491788,3.5422725665491788
X8_3,3.535258976014492,3.535258976014492
X8_1,3.5027949187022314,3.5027949187022314
X8_4,3.1576125489030042,3.1576125489030042
X7,2.3666710650966287,2.3666710650966287
X4,-2.0864087144612062,2.0864087144612062
X3,2.0010570152352716,2.0010570152352716
X1,-1.678629291397158,1.678629291397158
X6_4,1.4730473026487296,1.4730473026487296
X6_3,1.4460423556222377,1.4460423556222377
X6_5,1.3030127909363949,1.3030127909363949
X2,-1.144416614416325,1.144416614416325
