name,family,value,validation_pr_auc,validation_roc_auc,validation_f1,validation_precision,validation_recall,selected_threshold,best_iteration,train_seconds,efb_applied,n_efb_bundles
max_bins_127,max_bins,127,0.7807439611753059,0.9842555379639761,0.7107438016528925,0.6142857142857143,0.8431372549019608,0.21999999999999997,195,14.302213632000075,False,6
bins127_leaves7,combined,bins127_leaves7,0.7753491893781627,0.9815829713527925,0.7216494845360826,0.7608695652173914,0.6862745098039216,0.4499999999999999,342,16.345098057000087,False,6
bins127_lambda5,combined,bins127_lambda5,0.7662990759790257,0.9798644095319293,0.6964285714285714,0.639344262295082,0.7647058823529411,0.30999999999999994,230,19.256762564999917,False,6
reg_lambda_5,reg_lambda,5.0,0.7645156709122605,0.979282534269747,0.7032967032967032,0.8,0.6274509803921569,0.3999999999999999,212,10.52028313000028,False,6
leaves_7,num_leaves,7,0.7619192318787892,0.9717181558613681,0.7032967032967032,0.8,0.6274509803921569,0.41999999999999993,225,7.011688117000176,False,6
leaves_31,num_leaves,31,0.7580920304244785,0.9796478978064658,0.679245283018868,0.6545454545454545,0.7058823529411765,0.27999999999999997,183,9.348527820000072,False,6
baseline,baseline,baseline,0.7507411094275329,0.9769550332210201,0.6804123711340206,0.717391304347826,0.6470588235294118,0.36999999999999994,134,6.966963720999956,False,6
feature_fraction_085,feature_fraction,0.85,0.7507411094275329,0.9769550332210201,0.6804123711340206,0.717391304347826,0.6470588235294118,0.36999999999999994,134,7.165894127000229,False,6
scale_pos_3,scale_pos_weight,3.0,0.7356560575914917,0.9736126334591796,0.6808510638297872,0.7441860465116279,0.6274509803921569,0.5599999999999999,293,13.441613882000183,False,6
scale_pos_2,scale_pos_weight,2.0,0.734167141188624,0.9779834639169669,0.6666666666666667,0.7692307692307693,0.5882352941176471,0.5499999999999999,114,6.036488902999736,False,6
learning_rate_01,learning_rate,0.1,0.7323946205624342,0.977726356242981,0.6875,0.7333333333333333,0.6470588235294118,0.36999999999999994,66,3.890244122999775,False,6
scale_pos_5,scale_pos_weight,5.0,0.7282199867028093,0.9722188392265123,0.6923076923076923,0.6792452830188679,0.7058823529411765,0.5299999999999999,350,14.045744718000151,False,6
min_child_50,min_child_samples,50,0.7268714676524229,0.9754665151084607,0.6799999999999999,0.6938775510204082,0.6666666666666666,0.33999999999999997,95,4.077905568999995,False,6
bins127_leaves7_lambda5,combined,bins127_leaves7_lambda5,0.7126474173369076,0.9736396974248596,0.7154471544715448,0.6111111111111112,0.8627450980392157,0.19,254,13.786558513999807,False,6
max_bins_31,max_bins,31,0.6845325988029369,0.9721782432779884,0.6666666666666667,0.6875,0.6470588235294118,0.30999999999999994,218,6.798544026999934,False,6
