feature,gain_importance
previous_exam_score,13975640.743236445
exam_difficulty,6461469.857436827
study_hours_per_day,6261306.644478304
exam_preparation_days,4328006.211650203
practice_tests_completed,3884024.2424087357
sleep_hours,1496456.3273970068
attendance_percentage,1416910.0774237295
stress_level,1273832.2030889078
time_management_score,525616.874406081
self_study_hours,465060.70886544156
previous_gpa,437845.43277591263
exam_anxiety_level,312834.92081023514
assignment_completion_rate,123633.69868243925
daily_screen_time,53789.25762379926
physical_activity_hours,37113.054210816954
online_course_hours,35495.228362226306
online_learning_hours,34491.618395415724
sleep_quality,12859.628126546937
family_income,12504.575474968968
revision_frequency,9534.338860103506
age,9172.1430419572
educational_app_usage,7544.598765412433
study_consistency,6535.95377530337
education_level,6461.093248453979
device_availability,6298.4412524134805
parent_education,6261.068417606423
notes_quality,5966.248704398333
study_method,5739.982052713794
gender,4785.333506713146
study_environment,4560.033744556941
internet_access,3960.3894691847877
class_participation,3798.604808701319
urban_rural,3723.961072818681
motivation_level,3400.3816012063007
private_tuition,3183.5234847946595
school_type,2506.635363356908
break_frequency,1071.3347827706239
