feature,coefficient,absolute_coefficient
X5,8.291851069016392,8.291851069016392
X1,-4.191613825485223,4.191613825485223
X4,-4.185440967817928,4.185440967817928
X8_2,4.148777117346742,4.148777117346742
X8_3,4.034860959056634,4.034860959056634
X8_1,4.026427852978289,4.026427852978289
X8_5,3.9916594897352775,3.9916594897352775
X8_4,3.6664041635003892,3.6664041635003892
X7,2.32773331436547,2.32773331436547
X6_5,-0.20383062058140097,0.20383062058140097
X3,0.18061141514581397,0.18061141514581397
X6_3,-0.1209446628906337,0.1209446628906337
X6_4,-0.04889157465192689,0.04889157465192689
