feature,coefficient,absolute_coefficient
X5,8.362646335997354,8.362646335997354
X1,-4.732765881287675,4.732765881287675
X4,-4.297134393170267,4.297134393170267
X8_2,2.294095083993567,2.294095083993567
X8_1,2.191678784756729,2.191678784756729
X8_3,2.1259911056680085,2.1259911056680085
X8_4,2.029078924883175,2.029078924883175
X8_5,1.9097418084170794,1.9097418084170794
X7,1.7677635898970165,1.7677635898970165
X6_3,-0.5850101776728669,0.5850101776728669
X3,-0.5141916375319171,0.5141916375319171
X6_4,-0.3081975663993998,0.3081975663993998
X6_5,0.06047693225764287,0.06047693225764287
