,Sale,InStrSpending,Discount,TVSpending,StockRate,Price,Radio,OnlineAdsSpending
0,240368,59.9,0.46,46.3,0.45,12.56,1065,1081.6
1,207276,7.28,0.39,166.91,0.05,5.44,1832,651.24
2,172572,9.81,0.41,73.67,0.06,3.54,587,1066.56
3,82697,46.94,0.27,33.95,0.88,28.9,1407,1855.27
4,141762,2.59,0.26,82.63,0.36,4.66,2057,1608.91
5,271990,57.08,0.17,160.76,0.93,15.6,1723,2916.29
6,186979,40.09,0.25,42.25,0.61,10.6,1345,1797.1
7,176084,38.61,0.07,132.34,0.18,20.88,847,1610.31
8,98234,4.94,0.41,33.06,0.04,9.76,281,1073.3
9,262918,51.77,0.24,197.89,0.76,18.66,2577,1281.06
10,161146,0.31,0.38,75.81,0.48,0.8,1240,2366.6
11,192936,21.28,0.08,50.18,0.67,2.24,2888,2197.37
12,231571,32.4,0.15,47.63,0.95,0.6,1502,1630.43
13,261538,24.26,0.34,152.49,0.13,3.87,1978,969.81
14,294432,41.37,0.22,100.07,0.69,0.34,915,2986.22
15,176874,13.71,0.3,33.98,0.44,0.43,1230,1605.98
16,213508,56.23,0.47,107.11,0.63,19.8,1743,2343.1
17,288236,56.22,0.21,40.89,0.17,3.83,2562,538.36
18,45266,12.15,0.03,96.8,0.16,26.78,1632,1506.24
19,85558,11.19,0.32,20.38,0.08,12.83,1152,2633.61
20,88238,28.45,0.13,74.78,0.82,23.56,2887,2866.61
21,159466,49.35,0.19,47.39,0.3,20.06,687,1457.49
22,89318,20.11,0.18,60.21,0.55,19.01,401,53.35
23,251450,43.97,0.39,8.38,0.3,0.76,969,2281.65
24,271385,25.95,0.49,135.7,0.07,1.55,2024,89.09
25,304219,53.17,0.37,145.67,0.33,8.83,247,806.39
26,206719,0.59,0.02,176.51,0.06,2.82,2529,1548.41
27,181024,57.48,0.49,102.82,0.97,24.52,628,157.27
28,340742,43.49,0.08,196.07,0.79,2.93,363,297.66
29,155475,46.1,0.4,119.81,0.77,24.86,773,3173.2
30,270056,37.65,0.27,190.28,0.99,9.76,1104,2851.12
31,254070,39.83,0.34,149.64,0.99,9.6,364,1464.85
32,135519,57.34,0.25,49.51,0.53,26.88,800,869.5
33,262077,45.67,0.04,44.09,0.18,3.12,270,495.49
34,41977,21.55,0.22,17.68,0.15,24.43,1659,2662.21
35,215385,47.92,0.21,168.18,0.31,22.13,2941,2186.16
36,31616,20.85,0.35,30.41,0.31,26.86,2510,2146.33
37,170481,7.7,0.28,113.55,0.5,5.46,2541,1758.12
38,215805,4.86,0.28,186.54,0.66,3.6,109,900.73
39,161191,42.41,0.32,115.34,0.13,22.64,2467,1431.37
40,147814,23.06,0.12,189.35,0.43,23.14,2259,1376.46
41,178450,44.25,0.39,53.48,0.1,16.28,2354,2157.74
42,58197,10.52,0.19,49.93,0.95,18.55,2857,1418.01
43,281975,58.11,0.05,96.43,0.17,10.41,771,2734.45
44,157750,41.85,0.48,57.15,0.41,18.36,2140,1134.55
45,224778,40.87,0.07,71.06,0.62,7.42,779,1194.73
46,173798,23.03,0.49,116.65,0.75,11.68,1152,856.54
47,144527,41.56,0.13,160.88,0.18,29.58,1848,960.21
48,97877,9.6,0.03,177.24,0.11,24.0,122,1139.82
49,206207,55.86,0.07,33.47,0.06,14.78,982,1313.6
50,183642,7.28,0.11,72.51,0.29,0.14,1928,1518.25
51,95580,39.05,0.0,28.6,0.06,23.98,2725,3045.45
52,130416,36.62,0.41,159.66,0.2,29.99,1687,1283.11
53,160092,49.07,0.14,30.74,0.16,18.88,2102,963.76
54,250925,47.85,0.23,179.07,0.1,18.29,476,226.23
55,286298,42.49,0.33,157.86,0.7,7.26,545,674.44
56,322027,41.0,0.14,171.75,0.59,3.04,2945,2933.62
57,134781,29.27,0.45,68.42,0.78,16.0,1574,403.64
58,118446,7.87,0.03,100.02,0.25,12.85,2058,2154.94
59,148058,34.93,0.45,182.76,0.87,26.92,1016,2009.7
60,150200,13.21,0.26,108.85,0.63,10.13,1016,224.22
61,235796,22.33,0.2,106.31,0.96,0.39,65,677.75
62,72485,10.45,0.24,10.07,0.25,13.53,1449,2287.03
63,50082,7.9,0.14,131.63,0.6,25.85,501,1414.61
64,63653,28.88,0.39,42.49,0.05,26.99,838,3032.21
65,132285,47.09,0.15,16.83,0.85,19.54,1096,1730.65
66,42416,9.82,0.01,35.85,0.54,19.56,1281,615.41
67,47847,12.34,0.46,70.16,0.28,24.09,350,256.2
68,46680,0.7,0.3,158.55,0.66,26.32,67,1093.03
69,257518,41.33,0.17,100.49,0.2,6.93,2283,1035.28
70,118455,36.46,0.1,79.81,0.48,22.82,2726,2302.04
71,249445,52.6,0.0,54.4,0.55,8.04,370,1228.86
72,108707,32.02,0.22,93.0,0.02,24.68,257,434.01
73,250996,21.32,0.21,108.06,0.09,0.39,2202,1820.55
74,137962,14.33,0.1,3.02,0.13,4.23,2942,3135.86
75,119786,46.6,0.02,85.79,0.4,28.62,1166,559.31
76,214070,37.38,0.15,138.47,0.76,13.75,1074,514.75
77,98296,24.25,0.36,139.93,0.36,26.73,276,599.51
78,72157,0.19,0.36,80.04,0.74,14.62,1272,1171.29
79,14269,8.53,0.45,68.68,0.35,28.15,1036,2823.81
80,212235,39.37,0.14,122.37,0.81,13.6,2824,3095.45
81,217948,53.05,0.47,101.1,0.89,16.83,1749,1211.85
82,63900,12.64,0.21,54.39,0.6,19.3,2607,1368.13
83,283028,56.68,0.03,118.63,0.33,11.29,1094,910.96
84,119731,5.36,0.03,176.6,0.23,18.7,873,3010.4
85,250916,59.26,0.3,62.77,0.83,11.24,432,323.73
86,279656,42.33,0.27,124.26,0.64,5.45,377,990.28
87,152208,32.88,0.03,166.19,0.99,23.66,2442,860.36
