feature_index,uci_feature_index,feature_name
0,1,tBodyAcc-mean()-X
1,2,tBodyAcc-mean()-Y
2,3,tBodyAcc-mean()-Z
3,4,tBodyAcc-std()-X
4,5,tBodyAcc-std()-Y
5,6,tBodyAcc-std()-Z
6,7,tBodyAcc-mad()-X
7,8,tBodyAcc-mad()-Y
8,9,tBodyAcc-mad()-Z
9,10,tBodyAcc-max()-X
10,11,tBodyAcc-max()-Y
11,12,tBodyAcc-max()-Z
12,13,tBodyAcc-min()-X
13,14,tBodyAcc-min()-Y
14,15,tBodyAcc-min()-Z
15,16,tBodyAcc-sma()
16,17,tBodyAcc-energy()-X
17,18,tBodyAcc-energy()-Y
18,19,tBodyAcc-energy()-Z
19,20,tBodyAcc-iqr()-X
20,21,tBodyAcc-iqr()-Y
21,22,tBodyAcc-iqr()-Z
22,23,tBodyAcc-entropy()-X
23,24,tBodyAcc-entropy()-Y
24,25,tBodyAcc-entropy()-Z
25,26,"tBodyAcc-arCoeff()-X,1"
26,27,"tBodyAcc-arCoeff()-X,2"
27,28,"tBodyAcc-arCoeff()-X,3"
28,29,"tBodyAcc-arCoeff()-X,4"
29,30,"tBodyAcc-arCoeff()-Y,1"
30,31,"tBodyAcc-arCoeff()-Y,2"
31,32,"tBodyAcc-arCoeff()-Y,3"
32,33,"tBodyAcc-arCoeff()-Y,4"
33,34,"tBodyAcc-arCoeff()-Z,1"
34,35,"tBodyAcc-arCoeff()-Z,2"
35,36,"tBodyAcc-arCoeff()-Z,3"
36,37,"tBodyAcc-arCoeff()-Z,4"
37,38,"tBodyAcc-correlation()-X,Y"
38,39,"tBodyAcc-correlation()-X,Z"
39,40,"tBodyAcc-correlation()-Y,Z"
40,41,tGravityAcc-mean()-X
41,42,tGravityAcc-mean()-Y
42,43,tGravityAcc-mean()-Z
43,44,tGravityAcc-std()-X
44,45,tGravityAcc-std()-Y
45,46,tGravityAcc-std()-Z
46,47,tGravityAcc-mad()-X
47,48,tGravityAcc-mad()-Y
48,49,tGravityAcc-mad()-Z
49,50,tGravityAcc-max()-X
50,51,tGravityAcc-max()-Y
51,52,tGravityAcc-max()-Z
52,53,tGravityAcc-min()-X
53,54,tGravityAcc-min()-Y
54,55,tGravityAcc-min()-Z
55,56,tGravityAcc-sma()
56,57,tGravityAcc-energy()-X
57,58,tGravityAcc-energy()-Y
58,59,tGravityAcc-energy()-Z
59,60,tGravityAcc-iqr()-X
60,61,tGravityAcc-iqr()-Y
61,62,tGravityAcc-iqr()-Z
62,63,tGravityAcc-entropy()-X
63,64,tGravityAcc-entropy()-Y
64,65,tGravityAcc-entropy()-Z
65,66,"tGravityAcc-arCoeff()-X,1"
66,67,"tGravityAcc-arCoeff()-X,2"
67,68,"tGravityAcc-arCoeff()-X,3"
68,69,"tGravityAcc-arCoeff()-X,4"
69,70,"tGravityAcc-arCoeff()-Y,1"
70,71,"tGravityAcc-arCoeff()-Y,2"
71,72,"tGravityAcc-arCoeff()-Y,3"
72,73,"tGravityAcc-arCoeff()-Y,4"
73,74,"tGravityAcc-arCoeff()-Z,1"
74,75,"tGravityAcc-arCoeff()-Z,2"
75,76,"tGravityAcc-arCoeff()-Z,3"
76,77,"tGravityAcc-arCoeff()-Z,4"
77,78,"tGravityAcc-correlation()-X,Y"
78,79,"tGravityAcc-correlation()-X,Z"
79,80,"tGravityAcc-correlation()-Y,Z"
80,81,tBodyAccJerk-mean()-X
81,82,tBodyAccJerk-mean()-Y
82,83,tBodyAccJerk-mean()-Z
83,84,tBodyAccJerk-std()-X
84,85,tBodyAccJerk-std()-Y
85,86,tBodyAccJerk-std()-Z
86,87,tBodyAccJerk-mad()-X
87,88,tBodyAccJerk-mad()-Y
88,89,tBodyAccJerk-mad()-Z
89,90,tBodyAccJerk-max()-X
90,91,tBodyAccJerk-max()-Y
91,92,tBodyAccJerk-max()-Z
92,93,tBodyAccJerk-min()-X
93,94,tBodyAccJerk-min()-Y
94,95,tBodyAccJerk-min()-Z
95,96,tBodyAccJerk-sma()
96,97,tBodyAccJerk-energy()-X
97,98,tBodyAccJerk-energy()-Y
98,99,tBodyAccJerk-energy()-Z
99,100,tBodyAccJerk-iqr()-X
100,101,tBodyAccJerk-iqr()-Y
101,102,tBodyAccJerk-iqr()-Z
102,103,tBodyAccJerk-entropy()-X
103,104,tBodyAccJerk-entropy()-Y
104,105,tBodyAccJerk-entropy()-Z
105,106,"tBodyAccJerk-arCoeff()-X,1"
106,107,"tBodyAccJerk-arCoeff()-X,2"
107,108,"tBodyAccJerk-arCoeff()-X,3"
108,109,"tBodyAccJerk-arCoeff()-X,4"
109,110,"tBodyAccJerk-arCoeff()-Y,1"
110,111,"tBodyAccJerk-arCoeff()-Y,2"
111,112,"tBodyAccJerk-arCoeff()-Y,3"
112,113,"tBodyAccJerk-arCoeff()-Y,4"
113,114,"tBodyAccJerk-arCoeff()-Z,1"
114,115,"tBodyAccJerk-arCoeff()-Z,2"
