PC,Feature index,Feature name,Loading,|Loading|
PC2,295,fBodyAcc-meanFreq()-Z,0.1223852998083603,0.1223852998083603
PC2,248,tBodyGyroMag-arCoeff()1,0.11978285073777402,0.11978285073777402
PC2,222,tGravityAccMag-arCoeff()1,0.11816181031948463,0.11816181031948463
PC2,209,tBodyAccMag-arCoeff()1,0.11816181031948461,0.11816181031948461
PC2,512,fBodyAccMag-meanFreq(),0.11785446256943916,0.11785446256943916
PC2,73,"tGravityAcc-arCoeff()-Z,1",0.11756101978961206,0.11756101978961206
PC2,74,"tGravityAcc-arCoeff()-Z,2",-0.11709306160197097,0.11709306160197097
PC2,75,"tGravityAcc-arCoeff()-Z,3",0.11528870740406498,0.11528870740406498
PC2,76,"tGravityAcc-arCoeff()-Z,4",-0.11201280991822042,0.11201280991822042
PC2,249,tBodyGyroMag-arCoeff()2,-0.11186680509361967,0.11186680509361967
