original_index,label
2691,8
124,0
160,4
4124,3
2731,7
1103,6
752,3
3504,5
140,2
884,2
3844,1
1391,2
2113,3
1313,5
4433,7
5199,3
1662,5
1563,2
3425,0
4729,1
4662,3
860,0
736,2
2014,2
3384,0
4451,7
3996,7
841,0
354,9
1885,7
3213,0
4435,8
2077,3
1652,4
3637,3
4267,6
905,9
1017,9
5378,0
3266,7
1705,9
5244,6
2780,4
5290,7
3002,6
2602,4
2698,5
4254,3
2967,9
1306,9
795,4
323,4
1707,3
1718,0
1616,8
4634,5
879,5
3661,5
3397,4
3160,0
3108,5
360,7
1815,8
5422,1
3990,9
1369,5
4596,8
3164,9
1032,3
713,1
615,4
4614,5
2046,2
3019,8
906,4
2047,5
1234,9
2187,1
5161,2
4842,7
2801,4
1071,9
552,1
1698,3
5059,0
809,8
3253,6
3894,5
4940,1
3922,1
588,5
4663,4
1414,9
4183,6
2321,9
150,1
2313,9
5257,9
1858,8
4440,0
2990,3
3088,9
5408,1
2725,9
514,5
3089,0
3074,0
4442,3
3257,7
3876,8
3433,7
3396,8
1447,8
99,2
1067,0
4242,5
3233,0
2651,0
29,8
4280,5
1446,9
5123,3
2163,9
3772,1
3704,5
5458,7
3489,3
2751,1
1857,4
2361,3
2605,9
71,3
3496,1
3303,0
1335,1
4173,7
3252,4
4367,8
5024,7
4735,7
3853,0
2290,4
5551,7
154,8
4322,2
3884,7
4415,8
2035,4
4187,7
5032,7
3215,3
1715,0
4130,2
2211,1
2530,5
36,9
460,7
1871,7
3991,8
2435,6
1890,9
486,7
521,0
3694,8
39,4
4781,1
2350,0
756,7
4239,0
566,8
301,3
1508,7
1042,0
4212,3
866,7
3414,6
4731,3
3157,4
3985,5
4076,8
76,7
5499,9
2713,8
4549,1
129,2
2899,1
2310,6
3551,7
1096,0
5536,5
3472,6
5374,6
5297,3
2083,2
348,1
610,1
634,6
3314,1
3759,0
2238,2
3571,8
2763,3
4806,7
3348,4
2944,2
2116,5
4096,7
1118,1
1684,9
1672,6
3202,0
1781,2
1918,6
5450,7
1399,3
2472,7
3453,5
4296,4
1813,1
3682,1
3284,8
687,3
4121,1
4718,9
4957,1
3849,6
5287,0
956,2
4979,8
3306,8
3009,8
5125,5
765,2
1852,6
983,2
1257,4
488,5
2980,2
5400,6
2447,6
1831,9
766,6
5608,7
1848,3
1958,4
2332,4
4563,7
5351,2
5140,0
4920,1
4512,7
3039,2
2317,1
2,7
2908,2
5474,4
1373,5
1602,1
4703,6
5283,3
1485,0
3675,8
1459,6
351,7
1961,2
4069,5
4746,8
2515,8
556,5
317,4
5153,7
4504,5
485,7
3339,7
4255,5
2759,5
2167,7
3680,7
343,4
2712,5
2877,1
3890,6
4473,4
1559,3
1634,5
2757,4
111,6
4620,1
4281,0
4445,6
4404,6
5418,7
3191,5
5127,7
2203,7
1757,4
3151,2
940,8
5163,8
215,4
415,6
5339,0
4901,0
2234,5
4656,2
1139,2
5495,5
515,6
5160,2
4872,0
100,4
3034,0
1233,8
3660,7
1511,2
3124,9
3154,4
1305,5
2244,8
2052,1
3837,4
960,2
1547,4
4485,6
3964,1
3295,7
4342,3
2150,3
2926,5
688,5
4522,8
3799,9
2200,6
3516,2
534,3
1595,1
4111,5
5112,2
4209,0
1196,3
1410,8
2363,6
3247,9
438,4
1796,9
2380,3
2449,7
1892,6
5122,2
672,5
4075,0
2032,6
250,1
5036,1
1749,2
5578,6
5013,5
2732,7
5572,6
2810,0
446,5
420,8
629,8
3258,8
1266,0
2499,3
1012,4
3013,6
1151,0
3584,6
4289,1
87,9
5363,9
3481,4
3803,0
1031,2
2144,3
1138,8
3808,3
1605,0
3490,8
1060,5
1265,5
1820,3
2592,1
3173,8
1272,1
3031,2
5258,0
1095,9
5419,8
4081,2
2105,5
2702,2
3485,9
3334,3
5083,3
1271,8
3888,6
2041,4
2141,2
3376,9
276,8
4706,1
2553,4
1655,9
3881,6
3763,1
2365,5
1742,7
3658,4
2852,5
1765,4
5616,0
4788,3
2818,8
3627,6
4256,1
1838,7
94,4
3446,8
4011,6
3896,9
3614,3
3025,1
306,4
5453,3
461,2
3650,9
644,2
2125,8
3942,9
2110,8
2153,7
1533,9
3287,8
3319,3
4208,3
5052,0
413,7
797,5
4362,3
3874,2
3322,0
1675,5
2752,7
4202,8
2434,9
4924,5
3904,7
1824,5
4264,0
4102,3
4214,5
4569,4
2087,1
988,3
1452,8
56,0
3226,1
1879,3
1141,9
4984,4
3509,1
1966,4
924,1
1647,4
3638,8
3113,4
5196,7
842,7
1382,0
5110,0
2081,1
4010,2
5249,1
388,1
2856,3
5117,7
5044,4
1320,6
1516,5
4352,3
4615,6
1588,1
3275,0
1704,1
3291,7
2997,9
4747,9
380,2
2579,4
4428,3
4272,3
4345,6
3518,9
1283,1
1570,9
525,4
3110,6
4593,4
519,5
1334,7
2517,6
4047,8
4926,8
5570,1
1640,9
5553,3
1909,2
1837,0
2209,8
4097,8
1927,1
4458,9
2672,0
2383,5
4309,4
5446,6
3424,7
5266,8
4368,9
1146,6
968,3
5365,8
2598,0
4327,7
4139,3
4841,5
1541,4
138,6
1942,4
3308,5
3827,4
1213,4
1517,4
769,5
4893,4
60,7
5119,9
2456,3
492,7
2508,2
4978,9
970,2
1990,7
1148,4
3681,9
2191,0
4029,8
1736,1
897,5
4873,1
4553,2
2007,3
3467,0
5029,0
3604,5
5136,6
3196,3
2090,7
872,0
3647,9
1758,0
3078,6
3260,5
4559,1
4836,7
883,0
3789,4
5023,7
5009,9
134,4
321,1
3427,1
