Perplexity,Seed A,Seed B,k,Mean kNN Overlap,Min Sample Overlap,Median Sample Overlap
20,0,42,5,0.8446000000000001,0.0,1.0
20,0,42,10,0.8204,0.0,0.9
20,0,42,20,0.81695,0.0,0.875
20,0,42,50,0.84958,0.0,0.88
20,0,123,5,0.8362000000000002,0.0,0.8
20,0,123,10,0.8184000000000001,0.0,0.9
20,0,123,20,0.82295,0.0,0.9
20,0,123,50,0.85562,0.0,0.9
20,42,123,5,0.8572000000000001,0.0,1.0
20,42,123,10,0.8388000000000001,0.0,0.9
20,42,123,20,0.8398999999999999,0.0,0.9
20,42,123,50,0.87214,0.08,0.92
30,0,42,5,0.8078000000000001,0.0,0.8
30,0,42,10,0.7981000000000001,0.0,0.8
30,0,42,20,0.81055,0.0,0.85
30,0,42,50,0.86,0.0,0.9
30,0,123,5,0.824,0.0,0.8
30,0,123,10,0.8219000000000001,0.0,0.9
30,0,123,20,0.8268,0.0,0.9
30,0,123,50,0.8647400000000001,0.0,0.9
30,42,123,5,0.8068,0.0,0.8
30,42,123,10,0.7974000000000001,0.0,0.9
30,42,123,20,0.8034,0.0,0.85
30,42,123,50,0.84774,0.0,0.88
40,0,42,5,0.7864000000000001,0.0,0.8
40,0,42,10,0.7868,0.0,0.8
40,0,42,20,0.8028,0.0,0.85
40,0,42,50,0.85718,0.0,0.9
40,0,123,5,0.837,0.0,1.0
40,0,123,10,0.837,0.0,0.9
40,0,123,20,0.8442000000000001,0.0,0.9
40,0,123,50,0.89092,0.0,0.94
40,42,123,5,0.8012,0.0,0.8
40,42,123,10,0.7924,0.0,0.9
40,42,123,20,0.806,0.0,0.85
40,42,123,50,0.8588800000000001,0.0,0.89
